Mario,6,2,4,2,3,7,7,7,7,4,4,4,4,3
Luigi,6,2,5,1,3,7,7,7,7,5,5,5,5,3
Peach,4,3,3,3,4,6,6,6,6,5,5,5,5,1
Daisy,4,3,3,3,4,6,6,6,6,5,5,5,5,1
Yoshi,4,3,3,3,4,6,6,6,6,5,5,5,5,1
Toad,3,4,3,4,4,4,4,4,4,7,7,7,7,3
Toadette,2,5,4,2,4,3,3,3,3,7,7,7,7,3
Koopa,2,4,1,5,4,3,3,3,3,8,8,8,8,4
Bowser,10,0,6,0,0,10,10,10,10,0,0,0,0,6
DonkeyKong,8,1,10,0,1,9,9,9,9,2,2,2,2,4
Wario,9,0,5,1,0,10,10,10,10,1,1,1,1,5
Waluigi,8,1,10,0,1,9,9,9,9,2,2,2,2,4
Rosalina,7,1,9,3,2,8,8,8,8,3,3,3,3,4
MetalMario,10,1,8,1,1,8,8,8,8,3,3,3,3,3
PGPeach,10,1,8,1,1,8,8,8,8,3,3,3,3,3
Lakitu,2,4,1,5,4,3,3,3,3,8,8,8,8,4
ShyGuy,3,4,3,4,4,4,4,4,4,7,7,7,7,3
babyMario,1,5,2,4,5,2,2,2,2,8,8,8,8,5
babyLuigi,1,5,2,4,5,2,2,2,2,8,8,8,8,5
babyPeach,0,4,3,5,5,1,1,1,1,10,10,10,10,6
babyDaisy,0,4,3,5,5,1,1,1,1,10,10,10,10,6
babyRosalina,0,5,4,3,5,1,1,1,1,9,9,9,9,6
Larry,3,4,3,4,4,4,4,4,4,7,7,7,7,3
Lemmy,0,5,4,3,5,1,1,1,1,9,9,9,9,6
Wendy,2,5,4,2,4,3,3,3,3,7,7,7,7,3
Ludwig,6,2,4,2,3,7,7,7,7,4,4,4,4,3
Iggy,6,2,5,1,3,7,7,7,7,5,5,5,5,3
Roy,8,1,10,0,1,9,9,9,9,2,2,2,2,4
Morton,10,0,6,0,0,10,10,10,10,0,0,0,0,6
Mii,6,2,4,2,3,7,7,7,7,4,4,4,4,3
TanookiMario,5,3,7,1,4,6,6,6,6,5,5,5,5,1
Link,7,1,9,3,2,8,8,8,8,3,3,3,3,4
VillagerMale,5,3,7,1,4,6,6,6,6,5,5,5,5,1
Isabelle,2,5,4,2,4,3,3,3,3,7,7,7,7,3
CatPeach,3,4,2,3,4,5,5,5,5,6,6,6,6,3
DryBowser,9,0,5,1,0,10,10,10,10,1,1,1,1,5
VillagerFemale,3,4,2,3,4,5,5,5,5,6,6,6,6,3
GoldMario,10,1,8,1,1,8,8,8,8,3,3,3,3,3
DryBones,1,5,2,4,5,2,2,2,2,8,8,8,8,5
BowserJR,2,4,1,5,4,3,3,3,3,8,8,8,8,4
KingBoo,7,1,9,3,2,8,8,8,8,3,3,3,3,4
InklingGirl,3,4,2,3,4,5,5,5,5,6,6,6,6,3
InklingBoy,5,3,7,1,4,6,6,6,6,5,5,5,5,1
LinkBOTW,7,1,9,3,2,8,8,8,8,3,3,3,3,4
Birdo,4,3,3,3,4,6,6,6,6,5,5,5,5,1
Kamek,6,2,5,1,3,7,7,7,7,5,5,5,5,3
PeteyPiranha,10,1,8,1,1,8,8,8,8,3,3,3,3,6
Wiggler,8,1,10,0,1,9,9,9,9,2,2,2,2,4
DiddyKong,3,4,2,3,4,5,5,5,5,6,6,6,6,3
FunkyKong,9,0,5,1,0,10,10,10,10,1,1,1,1,5
Peachette,4,3,3,3,4,6,6,6,6,5,5,5,5,1
Pauline,7,1,9,3,2,8,8,8,8,3,3,3,3,4
